Name,Id,Financial Status,Currency,Subtotal,Taxes,Total,Discount Amount,Payment Reference,Payment Method,Created At,Processed At,Refunded Amount
#2021,8479017013157,paid,INR,815.16,146.73,961.89,0.00,pay_000213mHk0BQSE,Razorpay,2026-08-19T13:05:26+05:30,2026-08-19T13:05:32+05:30,0.00
#2022,8323904255766,paid,INR,684.66,123.24,807.90,0.00,pay_00022Jcvd95e5b,Razorpay,2026-08-19T14:33:24+05:30,2026-08-19T14:33:32+05:30,0.00
#2023,6659041282837,paid,INR,856.25,154.12,1010.37,0.00,pay_00023PHOvlHGTn,Razorpay,2026-08-19T15:39:43+05:30,2026-08-19T15:39:46+05:30,0.00
#2024,7084436384755,paid,INR,749.53,134.92,884.45,0.00,pay_00024zV2amgcLR,Razorpay,2026-08-19T18:05:53+05:30,2026-08-19T18:05:59+05:30,0.00
#2025,9164133694128,paid,INR,996.22,179.32,1175.54,0.00,pay_00025GzrIKTkQI,Razorpay,2026-08-19T18:42:58+05:30,2026-08-19T18:43:03+05:30,0.00
#2026,5643702298402,paid,INR,1178.58,212.14,1390.72,0.00,pay_00026RX4I8Iipm,Razorpay,2026-08-20T06:04:04+05:30,2026-08-20T06:04:09+05:30,0.00
#2027,7711667371836,paid,INR,1983.31,357.00,2340.31,0.00,pay_00027ID1u7a67h,Razorpay,2026-08-20T06:13:52+05:30,2026-08-20T06:13:58+05:30,0.00
#2028,7163947815489,paid,INR,1476.93,265.85,1742.78,0.00,pay_00028Eg8D04wzI,Razorpay,2026-08-20T06:28:01+05:30,2026-08-20T06:28:10+05:30,0.00
#2029,5428071726235,paid,INR,1901.25,342.22,2243.47,0.00,pay_00029QpY7NEkXk,Razorpay,2026-08-20T09:46:56+05:30,2026-08-20T09:46:58+05:30,0.00
#2030,5941367783057,paid,INR,1594.12,286.94,1881.06,0.00,pay_00030NejnCdN54,Razorpay,2026-08-20T09:52:48+05:30,2026-08-20T09:52:51+05:30,0.00
#2031,5726585559873,paid,INR,1842.92,331.72,2174.64,0.00,pay_00031lGYqyxzJ9,Razorpay,2026-08-20T19:20:00+05:30,2026-08-20T19:20:09+05:30,0.00
#2032,8503924095155,paid,INR,1641.92,295.54,1937.46,0.00,pay_00032u8834o3QJ,Razorpay,2026-08-20T20:50:17+05:30,2026-08-20T20:50:20+05:30,0.00
#2033,7872360546793,paid,INR,1342.82,241.71,1584.53,0.00,pay_00033oZy3uUi9S,Razorpay,2026-08-20T21:28:14+05:30,2026-08-20T21:28:16+05:30,0.00
#2034,8909744238008,paid,INR,2086.70,375.61,2462.31,0.00,pay_000349Ew6AQOfM,Razorpay,2026-08-21T02:18:51+05:30,2026-08-21T02:18:58+05:30,0.00
#2035,8348722933360,paid,INR,1277.26,229.91,1507.17,0.00,pay_00035fAIFgfILW,Razorpay,2026-08-21T03:55:22+05:30,2026-08-21T03:55:26+05:30,0.00
#2036,7943943340804,paid,INR,986.41,177.55,1163.96,0.00,pay_00036qjkrsWw6S,Razorpay,2026-08-21T08:51:03+05:30,2026-08-21T08:51:11+05:30,0.00
#2037,5238585859170,paid,INR,1998.44,359.72,2358.16,0.00,pay_00037t6mt78sRE,Razorpay,2026-08-21T10:36:23+05:30,2026-08-21T10:36:32+05:30,0.00
#2038,5324457485578,paid,INR,1143.71,205.87,1349.58,0.00,pay_00038sQYXzENpO,Razorpay,2026-08-21T12:25:44+05:30,2026-08-21T12:25:51+05:30,0.00
#2039,8917959498041,paid,INR,1870.73,336.73,2207.46,0.00,pay_000394gpPkLINO,Razorpay,2026-08-21T14:36:45+05:30,2026-08-21T14:36:52+05:30,0.00
#2040,7637398431356,paid,INR,1546.89,278.44,1825.33,0.00,pay_00040QQj9Ds5fZ,Razorpay,2026-08-21T14:45:52+05:30,2026-08-21T14:45:54+05:30,0.00
#2041,8420638883027,paid,INR,933.63,168.05,1101.68,0.00,pay_00041vgX5TFIuA,Razorpay,2026-08-21T15:58:32+05:30,2026-08-21T15:58:34+05:30,0.00
#2042,7753649338022,paid,INR,1155.14,207.93,1363.07,0.00,pay_00042UYdg2luCq,Razorpay,2026-08-21T16:00:37+05:30,2026-08-21T16:00:40+05:30,0.00
#2043,9260648718195,paid,INR,1207.97,217.43,1425.40,0.00,pay_00043lQFzixlNQ,Razorpay,2026-08-21T17:01:56+05:30,2026-08-21T17:02:00+05:30,0.00
#2044,7354132592036,paid,INR,1111.45,200.06,1311.51,0.00,pay_000447FEQz0Efb,Razorpay,2026-08-21T20:43:45+05:30,2026-08-21T20:43:55+05:30,0.00
#2045,8086746324748,paid,INR,1492.97,268.73,1761.70,0.00,pay_00045UVBnATOp2,Razorpay,2026-08-22T00:41:06+05:30,2026-08-22T00:41:14+05:30,0.00
#2046,6115213582734,paid,INR,1046.70,188.41,1235.11,0.00,pay_00046WYXJHLk8s,Razorpay,2026-08-22T01:43:36+05:30,2026-08-22T01:43:40+05:30,0.00
#2047,9032854677367,paid,INR,1232.64,221.87,1454.51,0.00,pay_00047tp0yiNMxe,Razorpay,2026-08-22T03:59:21+05:30,2026-08-22T03:59:28+05:30,0.00
#2048,5006255697776,paid,INR,818.65,147.36,966.01,0.00,pay_00048y8ZEurHi0,Razorpay,2026-08-22T09:19:54+05:30,2026-08-22T09:20:02+05:30,0.00
#2049,6164270881502,paid,INR,1127.42,202.94,1330.36,0.00,pay_0004942s22fwfP,Razorpay,2026-08-22T13:01:24+05:30,2026-08-22T13:01:29+05:30,0.00
#2050,9954375807997,paid,INR,1831.94,329.75,2161.69,0.00,pay_00050aRY9AiexT,Razorpay,2026-08-22T21:18:29+05:30,2026-08-22T21:18:31+05:30,0.00
#2051,7506575526062,paid,INR,2033.82,366.09,2399.91,0.00,pay_00051BSMjzQ1fg,Razorpay,2026-08-22T23:19:50+05:30,2026-08-22T23:19:52+05:30,0.00
#2052,5146342385636,paid,INR,1348.09,242.66,1590.75,0.00,pay_00052LlyOWXoxo,Razorpay,2026-08-23T00:56:09+05:30,2026-08-23T00:56:12+05:30,0.00
#2053,7727588195103,paid,INR,708.60,127.55,836.15,0.00,pay_00053cdWFMFzRf,Razorpay,2026-08-23T01:53:07+05:30,2026-08-23T01:53:15+05:30,0.00
#2054,6038894240756,paid,INR,1208.11,217.46,1425.57,0.00,pay_00054fACLtTThR,Razorpay,2026-08-23T03:22:54+05:30,2026-08-23T03:22:56+05:30,0.00
#2055,5404777266310,paid,INR,1422.21,256.00,1678.21,0.00,pay_00055qdSJeCwEJ,Razorpay,2026-08-23T11:46:02+05:30,2026-08-23T11:46:11+05:30,0.00
#2056,8530265889864,paid,INR,1486.56,267.58,1754.14,0.00,pay_00056j51I4TAtz,Razorpay,2026-08-23T11:51:17+05:30,2026-08-23T11:51:20+05:30,0.00
#2057,7048802093973,paid,INR,1711.19,308.02,2019.21,0.00,pay_00057VtfCwsWTp,Razorpay,2026-08-23T14:06:40+05:30,2026-08-23T14:06:50+05:30,0.00
#2058,8276611557511,paid,INR,1447.56,260.56,1708.12,0.00,pay_00058QauVxTtm8,Razorpay,2026-08-23T14:06:49+05:30,2026-08-23T14:06:58+05:30,0.00
#2059,6366267634883,paid,INR,866.58,155.98,1022.56,0.00,pay_00059FNyKdPis0,Razorpay,2026-08-23T16:28:30+05:30,2026-08-23T16:28:33+05:30,0.00
#2060,7286206112570,paid,INR,1043.13,187.76,1230.89,0.00,pay_00060thwVCC0fY,Razorpay,2026-08-23T17:13:29+05:30,2026-08-23T17:13:33+05:30,0.00
#2061,5571218458786,paid,INR,747.01,134.46,881.47,0.00,pay_000610IIfgXhdW,Razorpay,2026-08-23T20:08:08+05:30,2026-08-23T20:08:13+05:30,0.00
#2062,7596940286339,paid,INR,964.08,173.53,1137.61,0.00,pay_000620Yh6d5ASE,Razorpay,2026-08-23T18:04:11+05:30,2026-08-23T18:04:20+05:30,0.00
#2063,6926709943819,paid,INR,1901.35,342.24,2243.59,0.00,pay_00063fxzNXp9Hb,Razorpay,2026-08-23T17:29:58+05:30,2026-08-23T17:30:00+05:30,0.00
#2064,5247353877467,paid,INR,808.13,145.46,953.59,0.00,pay_00064DwKojpoHX,Razorpay,2026-08-23T15:06:44+05:30,2026-08-23T15:06:51+05:30,0.00
#2065,8285961502304,paid,INR,1928.94,347.21,2276.15,0.00,pay_00065ZY8HkcdLb,Razorpay,2026-08-23T12:35:04+05:30,2026-08-23T12:35:12+05:30,0.00
#2066,8442729110788,paid,INR,902.41,162.43,1064.84,0.00,pay_00066uu8TBNEtR,Razorpay,2026-08-20T21:20:39+05:30,2026-08-20T21:20:41+05:30,0.00
#2067,5595682655455,paid,INR,2016.20,362.92,2379.12,0.00,pay_00067tYLNgEuev,Razorpay,2026-08-18T10:30:56+05:30,2026-08-18T10:31:03+05:30,0.00
#2068,5648989852357,paid,INR,917.97,165.23,1083.20,0.00,pay_00068ScBAkz2vx,Razorpay,2026-08-18T21:22:35+05:30,2026-08-18T21:22:42+05:30,0.00
#2069,7334487062789,paid,INR,1264.51,227.61,1492.12,0.00,pay_00069je68u93RA,Razorpay,2026-08-18T08:46:18+05:30,2026-08-18T08:46:24+05:30,0.00
#2070,5800002102291,paid,INR,1111.31,200.04,1311.35,0.00,pay_00070fyIEdafZM,Razorpay,2026-08-19T03:18:33+05:30,2026-08-19T03:18:43+05:30,0.00
#2071,6057195237693,paid,INR,1088.69,195.96,1284.65,0.00,pay_00071xlcBqZIjR,Razorpay,2026-08-19T16:26:06+05:30,2026-08-19T16:26:15+05:30,0.00
#2072,5931685472166,paid,INR,1049.33,188.88,1238.21,0.00,pay_00072YhA9A9MZp,Razorpay,2026-08-18T09:10:35+05:30,2026-08-18T09:10:38+05:30,0.00
#2073,7367905099013,paid,INR,1867.91,336.22,2204.13,0.00,pay_000732qOJDkyMQ,Razorpay,2026-08-19T01:39:47+05:30,2026-08-19T01:39:55+05:30,0.00
#2074,8273804195770,partially_refunded,INR,1225.70,220.63,1446.33,0.00,pay_00074B4zEGxdXe,Razorpay,2026-08-17T21:00:03+05:30,2026-08-17T21:00:12+05:30,578.53
#2075,7688404735493,partially_refunded,INR,1214.20,218.56,1432.76,0.00,pay_000757DIvZqZfb,Razorpay,2026-08-20T00:58:00+05:30,2026-08-20T00:58:06+05:30,573.10
#2076,7281897246431,paid,INR,1514.32,272.58,1786.90,0.00,pay_0007670IKrQDur,Razorpay,2026-08-19T21:43:08+05:30,2026-08-19T21:43:16+05:30,0.00
#2077,7915796790748,paid,INR,2557.48,460.35,3017.83,0.00,pay_000786wskOIsDT,Razorpay,2026-08-19T18:55:19+05:30,2026-08-19T18:55:26+05:30,0.00
#2078,7407123239596,paid,INR,2348.16,422.67,2770.83,0.00,pay_00080QGz1j9v93,Razorpay,2026-08-18T21:56:43+05:30,2026-08-18T21:56:48+05:30,0.00
