payment_id,order_id,settlement_id,amount_paise,fee_paise,tax_paise,settled_amount_paise,method,currency,status,captured_at,refund_ids
pay_00019u3ejxjnzu,order_00019CdZyV6b2J,setl_00002P2MLjlQM3,154901,0,0,154901,upi,INR,captured,2026-08-19T16:00:29+05:30,
pay_0002007zUHLnnB,order_00020buQzkChMb,setl_00002P2MLjlQM3,158279,3166,570,154543,card,INR,captured,2026-08-19T17:54:56+05:30,
pay_00021lquCu2r6A,order_00021ZDUd7ne7c,setl_00002P2MLjlQM3,115572,2196,395,112981,netbanking,INR,captured,2026-08-19T21:01:24+05:30,
pay_00022hPInRVkLU,order_00022hY7gbtP7y,setl_00002P2MLjlQM3,242879,0,0,242879,upi,INR,captured,2026-08-19T22:42:52+05:30,
pay_00023MgV0Lh8Wv,order_00023AwFv0Yg7N,setl_00002P2MLjlQM3,235214,4704,847,229663,card,INR,captured,2026-08-19T23:40:58+05:30,
pay_00024GOM5WCZKt,order_00024p5rBUJPuE,setl_00003w69CrxG7Y,194160,0,0,194160,upi,INR,captured,2026-08-20T00:12:28+05:30,
pay_00025qrK2IGloz,order_00025IoDSBbszp,setl_00003w69CrxG7Y,135605,0,0,135605,upi,INR,captured,2026-08-20T02:22:48+05:30,
pay_000269IvCtoStU,order_000266QlTrKVL8,setl_00003w69CrxG7Y,219177,0,0,219177,upi,INR,captured,2026-08-20T03:46:02+05:30,
pay_00027sRhcds6NU,order_00027garDv7p1h,setl_00003w69CrxG7Y,139633,0,0,139633,upi,INR,captured,2026-08-20T03:48:18+05:30,
pay_00028QjY6fpIzK,order_00028MWx4sKAJd,setl_00003w69CrxG7Y,99420,0,0,99420,upi,INR,captured,2026-08-20T07:18:22+05:30,
pay_00029jkeaBKsoR,order_00029RCQ5WMO5A,setl_00003w69CrxG7Y,149375,2988,538,145849,card,INR,captured,2026-08-20T13:02:50+05:30,
pay_00030ektUJrhQR,order_000306FEecAtpf,setl_00003w69CrxG7Y,149633,2993,539,146101,card,INR,captured,2026-08-20T13:45:46+05:30,
pay_00031UDO4lKNEf,order_00031vuP1uRr6Y,setl_00003w69CrxG7Y,231059,0,0,231059,upi,INR,captured,2026-08-20T16:56:09+05:30,
pay_00032u8zF9OHzl,order_00032wUMVmI5BR,setl_00003w69CrxG7Y,103084,0,0,103084,upi,INR,captured,2026-08-20T16:57:56+05:30,
pay_00033azn0h6Oj5,order_00033sRzDDCilL,setl_00003w69CrxG7Y,121517,0,0,121517,upi,INR,captured,2026-08-20T17:01:44+05:30,
pay_00034FYrsK9EjH,order_00034vIHCtlRJo,setl_00003w69CrxG7Y,169096,3213,578,165305,netbanking,INR,captured,2026-08-20T20:17:25+05:30,
pay_00035RYxPY8EcF,order_00035K12BGCSzO,setl_00003w69CrxG7Y,163408,3268,588,159552,card,INR,captured,2026-08-20T21:23:39+05:30,
pay_00036QO001xtSV,order_000362ceN59UAg,setl_00004Zf4Y25zyx,149474,0,0,149474,upi,INR,captured,2026-08-21T10:02:24+05:30,
pay_000374cXsxjGJX,order_00037ke1Mo4iCp,setl_00004Zf4Y25zyx,123611,2472,445,120694,card,INR,captured,2026-08-21T11:06:18+05:30,
pay_00038BvKNAp0mx,order_00038DoJJ9s8Or,setl_00004Zf4Y25zyx,223287,0,0,223287,upi,INR,captured,2026-08-21T12:11:03+05:30,
pay_00039MQSOZM4Ot,order_00039BJTfsUkiH,setl_00004Zf4Y25zyx,137410,2748,495,134167,card,INR,captured,2026-08-21T15:28:48+05:30,
pay_00040ZpZDYUvh7,order_00040i71S87XwX,setl_00004Zf4Y25zyx,211542,4019,723,206800,netbanking,INR,captured,2026-08-21T16:33:37+05:30,
pay_00041PPKY6gob2,order_00041I4ndZ4szi,setl_00004Zf4Y25zyx,112398,0,0,112398,upi,INR,captured,2026-08-21T17:20:01+05:30,
pay_00042oHyx6RHKT,order_000422OZM6rQnB,setl_00004Zf4Y25zyx,209138,0,0,209138,upi,INR,captured,2026-08-21T18:15:54+05:30,
pay_00043Ndr86ZfnN,order_000438du9WmZIK,setl_00004Zf4Y25zyx,222728,4232,762,217734,netbanking,INR,captured,2026-08-21T19:49:22+05:30,
pay_000441iipkObaW,order_00044oukdTGUDW,setl_00004Zf4Y25zyx,236233,0,0,236233,upi,INR,captured,2026-08-21T22:15:22+05:30,
pay_00045cW1GC7dDy,order_00045QE4efLerN,setl_00004Zf4Y25zyx,138077,2623,472,134982,netbanking,INR,captured,2026-08-21T22:39:42+05:30,
pay_00046LgR0OVSnB,order_00046ovCzfAPxj,setl_00004Zf4Y25zyx,157305,0,0,157305,upi,INR,captured,2026-08-21T22:43:11+05:30,
pay_00047ffTYIKIuh,order_00047vPU1S8LvJ,setl_00005M4bnj6LAW,103914,2078,374,101462,card,INR,captured,2026-08-22T10:11:38+05:30,
pay_00048vIhroAIVM,order_00048PILOQbqV5,setl_00005M4bnj6LAW,138784,2776,500,135508,card,INR,captured,2026-08-22T11:05:43+05:30,
pay_00049yiNbUnAvw,order_00049SWJfdjMPq,setl_00005M4bnj6LAW,117552,0,0,117552,upi,INR,captured,2026-08-22T18:50:29+05:30,
pay_00050qUhArQEPc,order_00050yLasnipua,setl_00005M4bnj6LAW,239141,0,0,239141,upi,INR,captured,2026-08-22T20:03:55+05:30,
pay_00051RFZXe1cb5,order_000511JJRzhbuX,setl_00005M4bnj6LAW,113865,0,0,113865,upi,INR,captured,2026-08-22T21:49:01+05:30,
pay_00052gBye1UnWe,order_00052NGmWv7Ojg,setl_00005M4bnj6LAW,103102,0,0,103102,upi,INR,captured,2026-08-22T22:38:34+05:30,
pay_00053Ve6MCIJQ2,order_00053N9u8tBDNX,setl_00005M4bnj6LAW,237915,0,0,237915,upi,INR,captured,2026-08-23T11:11:43+05:30,
pay_00054CcwrN8fKx,order_00054J7Tc4JlLF,setl_00005M4bnj6LAW,212995,0,0,212995,upi,INR,captured,2026-08-23T19:34:46+05:30,
pay_00055Z8fOcR9GL,order_00055w4yWQdNuu,setl_00005M4bnj6LAW,107132,2143,386,104603,card,INR,captured,2026-08-23T20:11:15+05:30,
