Name,Id,Financial Status,Currency,Subtotal,Taxes,Total,Discount Amount,Payment Reference,Payment Method,Created At,Processed At,Refunded Amount
#1032,5253924591542,paid,INR,873.59,157.25,1030.84,0.00,pay_00032u8zF9OHzl,Razorpay,2026-08-20T16:57:51+05:30,2026-08-20T16:57:56+05:30,0.00
#1033,7426956354263,paid,INR,1029.81,185.36,1215.17,0.00,pay_00033azn0h6Oj5,Razorpay,2026-08-20T17:01:36+05:30,2026-08-20T17:01:44+05:30,0.00
#1034,8615398434095,paid,INR,1433.02,257.94,1690.96,0.00,pay_00034FYrsK9EjH,Razorpay,2026-08-20T20:17:23+05:30,2026-08-20T20:17:25+05:30,0.00
#1035,5657792972687,paid,INR,1384.81,249.27,1634.08,0.00,pay_00035RYxPY8EcF,Razorpay,2026-08-20T21:23:30+05:30,2026-08-20T21:23:39+05:30,0.00
#1036,5884215994972,paid,INR,1266.73,228.01,1494.74,0.00,pay_00036QO001xtSV,Razorpay,2026-08-21T10:02:15+05:30,2026-08-21T10:02:24+05:30,0.00
#1037,9092264738528,paid,INR,1047.55,188.56,1236.11,0.00,pay_000374cXsxjGJX,Razorpay,2026-08-21T11:06:12+05:30,2026-08-21T11:06:18+05:30,0.00
#1038,7026360674522,paid,INR,1892.26,340.61,2232.87,0.00,pay_00038BvKNAp0mx,Razorpay,2026-08-21T12:10:56+05:30,2026-08-21T12:11:03+05:30,0.00
#1039,8221103020683,paid,INR,1164.49,209.61,1374.10,0.00,pay_00039MQSOZM4Ot,Razorpay,2026-08-21T15:28:38+05:30,2026-08-21T15:28:48+05:30,0.00
#1040,7323637087325,paid,INR,1792.73,322.69,2115.42,0.00,pay_00040ZpZDYUvh7,Razorpay,2026-08-21T16:33:27+05:30,2026-08-21T16:33:37+05:30,0.00
#1041,5330481676861,paid,INR,952.53,171.45,1123.98,0.00,pay_00041PPKY6gob2,Razorpay,2026-08-21T17:19:55+05:30,2026-08-21T17:20:01+05:30,0.00
#1042,5873436085786,paid,INR,1772.36,319.02,2091.38,0.00,pay_00042oHyx6RHKT,Razorpay,2026-08-21T18:15:47+05:30,2026-08-21T18:15:54+05:30,0.00
#1043,7887218744623,paid,INR,1887.53,339.75,2227.28,0.00,pay_00043Ndr86ZfnN,Razorpay,2026-08-21T19:49:18+05:30,2026-08-21T19:49:22+05:30,0.00
#1044,8973313132204,paid,INR,2001.97,360.36,2362.33,0.00,pay_000441iipkObaW,Razorpay,2026-08-21T22:15:12+05:30,2026-08-21T22:15:22+05:30,0.00
#1045,8351471151730,paid,INR,1170.14,210.63,1380.77,0.00,pay_00045cW1GC7dDy,Razorpay,2026-08-21T22:39:32+05:30,2026-08-21T22:39:42+05:30,0.00
#1046,9174377434965,paid,INR,1333.09,239.96,1573.05,0.00,pay_00046LgR0OVSnB,Razorpay,2026-08-21T22:43:08+05:30,2026-08-21T22:43:11+05:30,0.00
#1047,6358123371749,paid,INR,880.63,158.51,1039.14,0.00,pay_00047ffTYIKIuh,Razorpay,2026-08-22T10:11:29+05:30,2026-08-22T10:11:38+05:30,0.00
#1048,5053047241680,paid,INR,1176.14,211.70,1387.84,0.00,pay_00048vIhroAIVM,Razorpay,2026-08-22T11:05:39+05:30,2026-08-22T11:05:43+05:30,0.00
#1049,8730874617977,paid,INR,996.20,179.32,1175.52,0.00,pay_00049yiNbUnAvw,Razorpay,2026-08-22T18:50:20+05:30,2026-08-22T18:50:29+05:30,0.00
#1050,8787074588992,paid,INR,2026.62,364.79,2391.41,0.00,pay_00050qUhArQEPc,Razorpay,2026-08-22T20:03:51+05:30,2026-08-22T20:03:55+05:30,0.00
#1051,9048514020621,paid,INR,964.96,173.69,1138.65,0.00,pay_00051RFZXe1cb5,Razorpay,2026-08-22T21:48:54+05:30,2026-08-22T21:49:01+05:30,0.00
#1052,6736266162731,paid,INR,873.75,157.27,1031.02,0.00,pay_00052gBye1UnWe,Razorpay,2026-08-22T22:38:30+05:30,2026-08-22T22:38:34+05:30,0.00
#1053,5496461367552,paid,INR,2016.23,362.92,2379.15,0.00,pay_00053Ve6MCIJQ2,Razorpay,2026-08-23T11:11:36+05:30,2026-08-23T11:11:43+05:30,0.00
#1054,5545279265522,paid,INR,1805.04,324.91,2129.95,0.00,pay_00054CcwrN8fKx,Razorpay,2026-08-23T19:34:37+05:30,2026-08-23T19:34:46+05:30,0.00
#1055,7497036279595,paid,INR,907.90,163.42,1071.32,0.00,pay_00055Z8fOcR9GL,Razorpay,2026-08-23T20:11:09+05:30,2026-08-23T20:11:15+05:30,0.00
