Name,Id,Financial Status,Currency,Subtotal,Taxes,Total,Discount Amount,Payment Reference,Payment Method,Created At,Processed At,Refunded Amount
#3013,7064399537099,paid,INR,994.43,179.00,1173.43,0.00,pay_00013nZmlX0059,Razorpay,2026-08-18T18:34:30+05:30,2026-08-18T18:34:33+05:30,0.00
#3014,9221428375596,paid,INR,1311.41,236.05,1547.46,0.00,pay_000143tBMsKJwt,Razorpay,2026-08-19T08:10:29+05:30,2026-08-19T08:10:38+05:30,0.00
#3015,5326015091435,paid,INR,1667.35,300.12,1967.47,0.00,pay_00015sIkL01iHq,Razorpay,2026-08-19T20:14:49+05:30,2026-08-19T20:14:59+05:30,0.00
#3016,6402075840724,paid,INR,1256.94,226.25,1483.19,0.00,pay_000169DWwnVTsC,Razorpay,2026-08-20T00:35:14+05:30,2026-08-20T00:35:18+05:30,0.00
#3017,7408744993155,paid,INR,1936.16,348.51,2284.67,0.00,pay_00017O7TDwnEdw,Razorpay,2026-08-20T00:51:58+05:30,2026-08-20T00:52:04+05:30,0.00
#3018,7472369907903,paid,INR,1963.42,353.42,2316.84,0.00,pay_00018kOwOZGx4G,Razorpay,2026-08-20T00:55:41+05:30,2026-08-20T00:55:46+05:30,0.00
#3019,6460529020888,paid,INR,1011.73,182.11,1193.84,0.00,pay_00019wShoYSDDn,Razorpay,2026-08-20T04:26:49+05:30,2026-08-20T04:26:55+05:30,0.00
#3020,8013716666124,paid,INR,1077.92,194.03,1271.95,0.00,pay_00020z8N2TY6nL,Razorpay,2026-08-20T06:09:44+05:30,2026-08-20T06:09:53+05:30,0.00
#3021,5012144113576,paid,INR,2003.19,360.58,2363.77,0.00,pay_00021oxgm1FAjf,Razorpay,2026-08-20T17:01:00+05:30,2026-08-20T17:01:08+05:30,0.00
#3022,6663259607505,paid,INR,1837.71,330.79,2168.50,0.00,pay_000222RA6DVvX4,Razorpay,2026-08-21T00:43:12+05:30,2026-08-21T00:43:14+05:30,0.00
#3023,9919327606507,paid,INR,693.76,124.88,818.64,0.00,pay_00023haOQtwjOp,Razorpay,2026-08-21T04:03:24+05:30,2026-08-21T04:03:34+05:30,0.00
#3024,9145267621509,paid,INR,1752.66,315.48,2068.14,0.00,pay_00024tvRT1OUBR,Razorpay,2026-08-21T05:23:20+05:30,2026-08-21T05:23:28+05:30,0.00
#3025,9490815721254,paid,INR,873.77,157.28,1031.05,0.00,pay_00025necx9MGSL,Razorpay,2026-08-21T08:22:38+05:30,2026-08-21T08:22:48+05:30,0.00
#3026,7434454099280,paid,INR,1192.64,214.67,1407.31,0.00,pay_00026PwO8fryPz,Razorpay,2026-08-21T08:41:33+05:30,2026-08-21T08:41:38+05:30,0.00
#3027,9036305462450,paid,INR,2025.03,364.51,2389.54,0.00,pay_00027CzakFIFvh,Razorpay,2026-08-21T11:16:42+05:30,2026-08-21T11:16:51+05:30,0.00
#3028,8110904395643,paid,INR,1981.64,356.69,2338.33,0.00,pay_00028DpxWnRXzv,Razorpay,2026-08-21T17:48:56+05:30,2026-08-21T17:49:01+05:30,0.00
#3029,8266246573681,paid,INR,1952.50,351.45,2303.95,0.00,pay_000296Q4EmT2mm,Razorpay,2026-08-21T17:49:45+05:30,2026-08-21T17:49:52+05:30,0.00
#3030,9048084866953,paid,INR,1771.73,318.91,2090.64,0.00,pay_000302JrlVFyUh,Razorpay,2026-08-21T22:17:03+05:30,2026-08-21T22:17:10+05:30,0.00
#3031,9884390591042,paid,INR,696.66,125.40,822.06,0.00,pay_00031nKuLqIoDM,Razorpay,2026-08-22T05:27:38+05:30,2026-08-22T05:27:46+05:30,0.00
#3032,8956078493076,paid,INR,1524.12,274.34,1798.46,0.00,pay_00032XTDaAi3NH,Razorpay,2026-08-22T05:30:30+05:30,2026-08-22T05:30:37+05:30,0.00
#3033,9077154573293,paid,INR,1255.05,225.91,1480.96,0.00,pay_00033I5pbh17mJ,Razorpay,2026-08-22T08:06:04+05:30,2026-08-22T08:06:08+05:30,0.00
#3034,6615626329099,paid,INR,1050.24,189.04,1239.28,0.00,pay_000345ALz4evtO,Razorpay,2026-08-22T17:22:43+05:30,2026-08-22T17:22:45+05:30,0.00
#3035,8896755860994,paid,INR,955.75,172.03,1127.78,0.00,pay_00035P6Rekgd2I,Razorpay,2026-08-22T18:13:00+05:30,2026-08-22T18:13:04+05:30,0.00
#3036,7725301851060,paid,INR,969.60,174.53,1144.13,0.00,pay_00036kcw41C15I,Razorpay,2026-08-22T18:30:58+05:30,2026-08-22T18:31:05+05:30,0.00
#3037,9818984307124,paid,INR,1747.98,314.64,2062.62,0.00,pay_00037XBwqsaY0v,Razorpay,2026-08-22T19:48:27+05:30,2026-08-22T19:48:34+05:30,0.00
#3038,6199079308451,paid,INR,1096.88,197.44,1294.32,0.00,pay_00038IykTyxqAo,Razorpay,2026-08-22T20:22:09+05:30,2026-08-22T20:22:15+05:30,0.00
#3039,8268461365325,paid,INR,923.13,166.16,1089.29,0.00,pay_00039MqMlbdHlg,Razorpay,2026-08-22T20:52:39+05:30,2026-08-22T20:52:48+05:30,0.00
#3040,5827945123304,paid,INR,748.47,134.72,883.19,0.00,pay_0004007dWeDl0Y,Razorpay,2026-08-22T21:43:05+05:30,2026-08-22T21:43:15+05:30,0.00
#3041,8479437400847,paid,INR,1141.04,205.39,1346.43,0.00,pay_00041QtuNc6GpN,Razorpay,2026-08-23T00:41:20+05:30,2026-08-23T00:41:25+05:30,0.00
#3042,8860710866241,paid,INR,697.80,125.60,823.40,0.00,pay_00042KQQjVpEQu,Razorpay,2026-08-23T01:48:31+05:30,2026-08-23T01:48:36+05:30,0.00
#3043,9764249807773,paid,INR,725.40,130.57,855.97,0.00,pay_00043wi3EBsRll,Razorpay,2026-08-23T07:12:03+05:30,2026-08-23T07:12:10+05:30,0.00
#3044,5382538477097,paid,INR,1686.73,303.61,1990.34,0.00,pay_00044Nxlb1WoSO,Razorpay,2026-08-23T08:25:16+05:30,2026-08-23T08:25:20+05:30,0.00
#3045,8174241537068,paid,INR,1074.82,193.47,1268.29,0.00,pay_00045mEgJZOGRp,Razorpay,2026-08-23T08:52:03+05:30,2026-08-23T08:52:13+05:30,0.00
#3046,5930917447020,paid,INR,1602.03,288.36,1890.39,0.00,pay_00046XdMGTZenG,Razorpay,2026-08-23T09:11:02+05:30,2026-08-23T09:11:09+05:30,0.00
#3047,6883539122526,paid,INR,1697.03,305.47,2002.50,0.00,pay_00047AgXIFOHL5,Razorpay,2026-08-23T11:39:05+05:30,2026-08-23T11:39:13+05:30,0.00
#3048,5829593183100,paid,INR,1900.35,342.06,2242.41,0.00,pay_00048p7ByT8KG9,Razorpay,2026-08-23T12:03:48+05:30,2026-08-23T12:03:50+05:30,0.00
#3049,5688833495434,paid,INR,1468.08,264.25,1732.33,0.00,pay_00049q3ppsJJne,Razorpay,2026-08-20T03:02:44+05:30,2026-08-20T03:02:46+05:30,0.00
#3050,8921180760058,paid,INR,1450.91,261.16,1712.07,0.00,pay_00050A5hVU05NN,Razorpay,2026-08-19T08:41:46+05:30,2026-08-19T08:41:56+05:30,0.00
#3051,7166915144276,paid,USD,28.81,5.19,34.00,0.00,pay_00051AWjuDUHqy,Razorpay,2026-08-17T21:07:04+05:30,2026-08-17T21:07:09+05:30,0.00
#3052,9824359201066,paid,INR,3133.87,564.10,3697.97,0.00,pay_00052bs9M9BjcY,Razorpay,2026-08-17T13:12:52+05:30,2026-08-17T13:13:01+05:30,0.00
#3053,9028536693671,paid,INR,718.81,129.39,848.20,0.00,pay_000556eOP4wgs2,Razorpay,2026-08-18T04:34:56+05:30,2026-08-18T04:35:06+05:30,0.00
#3054,6332408732086,paid,INR,725.70,130.63,856.33,0.00,pay_000575sEUb,Razorpay,2026-08-21T15:45:32+05:30,2026-08-21T15:45:39+05:30,0.00
#3055,7668941003692,paid,INR,1271.19,228.81,1500.00,0.00,pay_00058Ofx7LMooj,Razorpay,2026-08-19T17:12:35+05:30,2026-08-19T17:12:44+05:30,0.00
#3056,7408352830267,paid,INR,1271.19,228.81,1500.00,0.00,pay_00059tRGi98i54,Razorpay,2026-08-19T19:12:40+05:30,2026-08-19T19:12:44+05:30,0.00
#3057,6798550955393,refunded,INR,1479.93,266.39,1746.32,0.00,pay_00060glVLqJooQ,Razorpay,2026-08-19T16:43:55+05:30,2026-08-19T16:43:58+05:30,1746.32
